id	control2		Sailfish	Salmon	STAR
AT4G34560	64.74		78.7393	74.556218	11.860071
AT4G34570	6.53		8.14227	7.554118	47.180382
AT4G34580	0		0	0	18.349783
AT4G34590	12.42		17.3169	16.378249	0.181393
AT4G34600	41.3		51.294	50.317351	74.132081
AT4G34610	32.07		39.85499	36.634475	0
AT4G34620	711.81		1018.31	1013.268236	1.18783
AT4G34630	12.44		11.2289	10.612892	21.004046
AT4G34640	62.97		73.1873	67.801947	10.24598
AT4G34650	26.61		35.0249	32.272186	44.769502
AT4G34660	17.46		23.482247	20.792687	26.839094
AT4G34670	200.39		240.365	226.087194	16.782768
AT4G34680	11.97		12.44664	11.367768	2.212524
AT4G34690	0		0	0	6.361758
AT4G34700	174		175.532	168.58217	25.862886
AT4G34710	42.41		52.3915	46.215108	22.651593
AT4G34720	161.65		204.80816	195.807092	73.976875
AT4G34730	17.37		19.21734	17.583803	25.559461
